UnixTime,SensorID,PM1,PM2_5,PM10
1627584612.99,2,1,2,2
1627584613.50,1,4,7,8
1627584613.91,2,1,2,2
1627584614.42,1,4,7,8
1627584614.75,2,1,2,2
1627584615.27,1,4,7,8
1627584615.60,2,1,2,2
1627584616.12,1,4,7,8
1627584616.52,2,1,2,2
1627584617.03,1,4,8,9
1627584617.36,2,1,2,2
1627584617.88,1,4,8,9
1627584618.21,2,1,2,2
1627584618.73,1,4,8,9
1627584619.12,2,1,2,2
1627584619.64,1,4,7,8
1627584619.97,2,1,2,2
1627584620.49,1,4,7,8
1627584620.82,2,1,2,2
1627584621.34,1,4,7,8
1627584621.73,2,1,1,1
1627584622.26,1,4,7,8
1627584622.58,2,1,1,1
1627584623.10,1,4,7,8
1627584623.42,2,1,1,1
1627584623.95,1,4,7,8
1627584624.34,2,1,1,1
1627584624.87,1,4,7,9
1627584625.19,2,1,1,1
1627584625.72,1,4,7,9
1627584626.03,2,1,1,1
1627584626.56,1,4,7,9
1627584626.95,2,1,2,2
1627584627.48,1,3,7,8
1627584627.79,2,1,2,2
1627584628.33,1,3,7,8
1627584628.64,2,1,2,2
1627584629.17,1,3,7,8
1627584629.56,2,1,2,2
1627584630.09,1,3,6,10
1627584630.40,2,1,2,2
1627584630.94,1,3,6,10
1627584631.25,2,1,2,2
1627584631.79,1,3,6,10
1627584632.16,2,1,2,2
1627584632.70,1,3,6,9
1627584633.01,2,1,2,2
1627584633.55,1,3,6,9
1627584633.85,2,1,2,2
1627584634.40,1,3,6,9
1627584634.77,2,1,2,2
1627584635.32,1,3,6,11
1627584635.62,2,1,2,2
1627584636.16,1,3,6,11
1627584636.46,2,1,2,2
1627584637.01,1,3,6,11
1627584637.38,2,1,2,2
1627584637.93,1,4,6,11
1627584638.22,2,1,2,2
1627584638.77,1,4,6,11
1627584639.07,2,1,2,2
1627584639.62,1,4,6,11
1627584639.99,2,1,2,2
1627584640.54,1,4,6,10
1627584640.83,2,1,2,2
1627584641.39,1,4,6,10
1627584641.68,2,1,2,2
1627584642.23,1,4,6,10
1627584642.59,2,1,2,2
1627584643.15,1,3,5,10
1627584643.44,2,1,2,2
1627584644.00,1,3,5,10
1627584644.29,2,1,2,2
1627584644.85,1,3,5,10
1627584645.20,2,1,2,2
1627584645.76,1,4,6,10
1627584646.05,2,1,2,2
1627584646.61,1,4,6,10
1627584646.89,2,1,2,2
1627584647.46,1,4,6,10
1627584647.81,2,1,2,2
1627584648.37,1,4,6,10
1627584648.66,2,1,2,2
1627584649.22,1,4,6,10
1627584649.50,2,1,2,2
1627584650.07,1,4,6,10
1627584650.42,2,1,2,2
1627584650.98,1,3,5,8
1627584651.26,2,1,2,2
1627584651.83,1,3,5,8
1627584652.11,2,1,2,2
1627584652.68,1,3,5,8
1627584653.03,2,1,2,2
1627584653.60,1,4,6,9
1627584653.87,2,1,2,2
1627584654.44,1,4,6,9
1627584654.72,2,1,2,2
1627584655.29,1,4,6,9
1627584655.63,2,1,2,2
1627584656.21,1,4,7,8
1627584656.48,2,1,2,2
1627584657.05,1,4,7,8
1627584657.33,2,1,2,2
1627584657.90,1,4,7,8
1627584658.24,2,1,2,2
1627584658.82,1,4,7,8
1627584659.09,2,1,2,2
1627584659.67,1,4,7,8
1627584659.93,2,1,2,2
1627584660.51,1,4,7,8
1627584660.85,2,1,2,2
1627584661.43,1,4,8,8
1627584661.70,2,1,2,2
1627584662.28,1,4,8,8
1627584662.54,2,1,2,2
1627584663.12,1,4,8,8
1627584663.46,2,1,2,2
1627584664.04,1,4,8,8
1627584664.30,2,1,2,2
1627584664.89,1,4,8,8
1627584665.15,2,1,2,2
1627584665.74,1,4,8,8
1627584666.07,2,1,2,2
1627584666.65,1,4,8,8
1627584666.91,2,1,2,2
1627584667.50,1,4,8,8
1627584667.76,2,1,2,2
1627584668.35,1,4,8,8
1627584668.67,2,1,2,2
1627584669.27,1,3,8,8
1627584669.52,2,1,2,2
1627584670.11,1,3,8,8
1627584670.37,2,1,2,2
1627584670.96,1,3,8,8
1627584671.28,2,1,2,2
1627584671.88,1,5,9,9
1627584672.13,2,1,2,2
1627584672.72,1,5,9,9
1627584672.97,2,1,2,2
1627584673.57,1,5,9,9
1627584673.89,2,1,3,3
1627584674.49,1,5,9,9
1627584674.74,2,1,3,3
1627584675.34,1,5,9,9
1627584675.58,2,1,3,3
1627584676.18,1,5,9,9
1627584676.50,2,1,3,3
1627584677.10,1,5,10,11
1627584677.34,2,1,3,3
1627584677.95,1,5,10,11
1627584678.19,2,1,3,3
1627584678.80,1,5,10,11
1627584679.11,2,1,3,3
1627584679.71,1,5,9,11
1627584679.95,2,1,3,3
1627584680.56,1,5,9,11
1627584680.80,2,1,3,3
1627584681.41,1,5,9,11
1627584681.71,2,2,3,3
1627584682.33,1,5,9,11
1627584682.56,2,2,3,3
1627584683.17,1,5,9,11
1627584683.40,2,2,3,3
1627584684.02,1,5,9,11
1627584684.32,2,2,4,4
1627584684.94,1,4,8,11
1627584685.17,2,2,4,4
1627584685.78,1,4,8,11
1627584686.01,2,2,4,4
1627584686.63,1,4,8,11
